created,text,retwc,hashtag,followers,friends
02-07-2020 19:57,"b'RT @nirupaka_: &gt; Modi is an OBC, he has never been casteist, if you show me evidence I will concede (considering the ideology he follows is\xe2\x80\xa6'",2,None,9,67
,,,,,
02-07-2020 19:57,"b""RT @amitbehere: The signs that the country has lost it's marbles were evident a long time ago.\n\nMy buddy Raj has been joking with #bhakts f\xe2\x80\xa6""",55,bhakts,10,154
,,,,,
02-07-2020 19:57,"b'@rssurjewala @INCIndia Let us assume that Modi ji does not do what he says, so what did you think what you are sayi\xe2\x80\xa6 https://t.co/raPwRDFCOl'",0,None,1,74
,,,,,
02-07-2020 19:57,b'RT @KremlinRussia_E: Telephone conversation with Prime Minister of India Narendra Modi https://t.co/wrO66tpk9T',336,None,111,705
,,,,,
02-07-2020 19:57,"b'RT @SalmanNizami_: Modi hates Indian MUSLIM.\nModi loves Arab MUSLIM.\n\nMONEY, POWER matters not LIVES!'",401,None,31,86
,,,,,
02-07-2020 19:57,"b'RT @BhavikaKapoor5: 21 Mig-29 ordered by Modi govt for urgent requirements. I am curious, what happened to ""ready to deliver"" #Rafale ? \n\n#\xe2\x80\xa6'",227,Rafale,696,742
,,,,,
02-07-2020 19:57,"b'RT @MrsGandhi: In 2008 an MoU was signed between Sonia G &amp; Communist Party of China. Until today, nobody in India is aware of the details o\xe2\x80\xa6'",295,None,115,1257
